[9B rev8] groups [[0, 1, 2], [4, 5, 6], [8, 9, 10], [12, 13, 14], [16, 17, 18], [20, 21, 22], [24, 25, 26], [28, 29, 30]]  reader L27H1
  100 prompt pairs in 4 batches, 86 tokens
A1 run A (asks A): ansA 1.00  attA 0.82
A1 run B (asks B): ansA 0.00  ansB 1.00  attA 0.00  attB 0.82
A2 G0 final     ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G0 question  ansA 1.00  ansB 0.00  D(A-B) +10.33  attA 0.81  attB 0.00
A2 G0 dict      ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G0 all       ansA 1.00  ansB 0.00  D(A-B) +10.33  attA 0.81  attB 0.00
A2 G1 final     ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G1 question  ansA 0.00  ansB 1.00  D(A-B) -10.31  attA 0.00  attB 0.82
A2 G1 dict      ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G1 all       ansA 0.00  ansB 1.00  D(A-B) -10.31  attA 0.00  attB 0.82
A2 G2 final     ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G2 question  ansA 0.00  ansB 1.00  D(A-B) -10.38  attA 0.00  attB 0.82
A2 G2 dict      ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G2 all       ansA 0.00  ansB 1.00  D(A-B) -10.38  attA 0.00  attB 0.82
A2 G3 final     ansA 0.00  ansB 1.00  D(A-B)  -9.76  attA 0.00  attB 0.81
A2 G3 question  ansA 0.00  ansB 1.00  D(A-B)  -9.31  attA 0.00  attB 0.82
A2 G3 dict      ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G3 all       ansA 0.00  ansB 1.00  D(A-B)  -9.31  attA 0.00  attB 0.82
A2 G4 final     ansA 0.98  ansB 0.02  D(A-B)  +2.44  attA 0.80  attB 0.01
A2 G4 question  ansA 0.99  ansB 0.00  D(A-B)  +7.09  attA 0.81  attB 0.00
A2 G4 dict      ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G4 all       ansA 0.99  ansB 0.00  D(A-B)  +7.09  attA 0.81  attB 0.00
A2 G5 final     ansA 0.00  ansB 1.00  D(A-B) -10.61  attA 0.00  attB 0.81
A2 G5 question  ansA 0.00  ansB 1.00  D(A-B) -10.57  attA 0.00  attB 0.82
A2 G5 dict      ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G5 all       ansA 0.00  ansB 1.00  D(A-B) -10.57  attA 0.00  attB 0.82
A2 G6 final     ansA 0.00  ansB 1.00  D(A-B)  -9.51  attA 0.00  attB 0.81
A2 G6 question  ansA 0.00  ansB 1.00  D(A-B)  -9.42  attA 0.00  attB 0.81
A2 G6 dict      ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G6 all       ansA 0.00  ansB 1.00  D(A-B)  -9.42  attA 0.00  attB 0.81
A2 G7 final     ansA 0.00  ansB 1.00  D(A-B)  -7.95  attA 0.00  attB 0.82
A2 G7 question  ansA 0.00  ansB 1.00  D(A-B)  -7.92  attA 0.00  attB 0.82
A2 G7 dict      ansA 0.00  ansB 1.00  D(A-B) -10.34  attA 0.00  attB 0.82
A2 G7 all       ansA 0.00  ansB 1.00  D(A-B)  -7.92  attA 0.00  attB 0.82
wrote results/exp22_transplant_9B_rev8.json  (9.3 min)
