[9B list8] groups [[0, 1, 2], [4, 5, 6], [8, 9, 10], [12, 13, 14], [16, 17, 18], [20, 21, 22], [24, 25, 26], [28, 29, 30]]  reader L19H15
  100 prompt pairs in 4 batches, 69 tokens
A1 run A (asks A): ansA 1.00  attA 0.91
A1 run B (asks B): ansA 0.00  ansB 1.00  attA 0.01  attB 0.91
A2 G0 final     ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G0 question  ansA 1.00  ansB 0.00  D(A-B) +10.21  attA 0.92  attB 0.00
A2 G0 dict      ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G0 all       ansA 1.00  ansB 0.00  D(A-B) +10.21  attA 0.92  attB 0.00
A2 G1 final     ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G1 question  ansA 0.00  ansB 1.00  D(A-B) -10.33  attA 0.01  attB 0.91
A2 G1 dict      ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G1 all       ansA 0.00  ansB 1.00  D(A-B) -10.33  attA 0.01  attB 0.91
A2 G2 final     ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G2 question  ansA 0.00  ansB 1.00  D(A-B) -10.26  attA 0.01  attB 0.92
A2 G2 dict      ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G2 all       ansA 0.00  ansB 1.00  D(A-B) -10.26  attA 0.01  attB 0.92
A2 G3 final     ansA 0.00  ansB 1.00  D(A-B) -10.14  attA 0.01  attB 0.91
A2 G3 question  ansA 0.00  ansB 1.00  D(A-B)  -8.69  attA 0.01  attB 0.91
A2 G3 dict      ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G3 all       ansA 0.00  ansB 1.00  D(A-B)  -8.69  attA 0.01  attB 0.91
A2 G4 final     ansA 0.97  ansB 0.03  D(A-B)  +2.21  attA 0.89  attB 0.01
A2 G4 question  ansA 1.00  ansB 0.00  D(A-B)  +6.18  attA 0.89  attB 0.01
A2 G4 dict      ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G4 all       ansA 1.00  ansB 0.00  D(A-B)  +6.18  attA 0.89  attB 0.01
A2 G5 final     ansA 0.00  ansB 1.00  D(A-B) -10.11  attA 0.01  attB 0.91
A2 G5 question  ansA 0.00  ansB 1.00  D(A-B) -10.19  attA 0.01  attB 0.91
A2 G5 dict      ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G5 all       ansA 0.00  ansB 1.00  D(A-B) -10.19  attA 0.01  attB 0.91
A2 G6 final     ansA 0.00  ansB 1.00  D(A-B)  -9.56  attA 0.01  attB 0.91
A2 G6 question  ansA 0.00  ansB 1.00  D(A-B)  -9.47  attA 0.01  attB 0.91
A2 G6 dict      ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G6 all       ansA 0.00  ansB 1.00  D(A-B)  -9.47  attA 0.01  attB 0.91
A2 G7 final     ansA 0.00  ansB 1.00  D(A-B)  -8.26  attA 0.01  attB 0.91
A2 G7 question  ansA 0.00  ansB 1.00  D(A-B)  -8.23  attA 0.01  attB 0.91
A2 G7 dict      ansA 0.00  ansB 1.00  D(A-B) -10.35  attA 0.01  attB 0.91
A2 G7 all       ansA 0.00  ansB 1.00  D(A-B)  -8.23  attA 0.01  attB 0.91
wrote results/exp22_transplant_9B_list8.json  (7.1 min)
