[0.8B list8] groups [[0, 1, 2], [4, 5, 6], [8, 9, 10], [12, 13, 14], [16, 17, 18], [20, 21, 22]]  reader L15H5
  100 prompt pairs in 4 batches, 69 tokens
A1 run A (asks A): ansA 1.00  attA 0.82
A1 run B (asks B): ansA 0.00  ansB 1.00  attA 0.00  attB 0.82
A2 G0 final     ansA 0.00  ansB 1.00  D(A-B) -10.01  attA 0.00  attB 0.82
A2 G0 question  ansA 1.00  ansB 0.00  D(A-B) +10.26  attA 0.81  attB 0.01
A2 G0 dict      ansA 0.00  ansB 1.00  D(A-B) -10.02  attA 0.00  attB 0.82
A2 G0 all       ansA 1.00  ansB 0.00  D(A-B) +10.26  attA 0.81  attB 0.01
A2 G1 final     ansA 0.00  ansB 1.00  D(A-B) -10.01  attA 0.00  attB 0.82
A2 G1 question  ansA 0.00  ansB 1.00  D(A-B)  -9.79  attA 0.01  attB 0.81
A2 G1 dict      ansA 0.00  ansB 1.00  D(A-B) -10.02  attA 0.00  attB 0.82
A2 G1 all       ansA 0.00  ansB 1.00  D(A-B)  -9.79  attA 0.01  attB 0.81
A2 G2 final     ansA 0.00  ansB 1.00  D(A-B) -10.00  attA 0.00  attB 0.82
A2 G2 question  ansA 0.00  ansB 1.00  D(A-B)  -9.02  attA 0.01  attB 0.76
A2 G2 dict      ansA 0.00  ansB 1.00  D(A-B) -10.02  attA 0.00  attB 0.82
A2 G2 all       ansA 0.00  ansB 1.00  D(A-B)  -9.02  attA 0.01  attB 0.76
A2 G3 final     ansA 1.00  ansB 0.00  D(A-B)  +6.41  attA 0.81  attB 0.00
A2 G3 question  ansA 1.00  ansB 0.00  D(A-B) +10.06  attA 0.81  attB 0.00
A2 G3 dict      ansA 0.00  ansB 1.00  D(A-B) -10.02  attA 0.00  attB 0.82
A2 G3 all       ansA 1.00  ansB 0.00  D(A-B) +10.06  attA 0.81  attB 0.00
A2 G4 final     ansA 0.00  ansB 1.00  D(A-B)  -9.60  attA 0.00  attB 0.82
A2 G4 question  ansA 0.00  ansB 1.00  D(A-B)  -9.55  attA 0.00  attB 0.82
A2 G4 dict      ansA 0.00  ansB 1.00  D(A-B) -10.02  attA 0.00  attB 0.82
A2 G4 all       ansA 0.00  ansB 1.00  D(A-B)  -9.55  attA 0.00  attB 0.82
A2 G5 final     ansA 0.00  ansB 1.00  D(A-B)  -8.71  attA 0.00  attB 0.82
A2 G5 question  ansA 0.00  ansB 1.00  D(A-B)  -8.71  attA 0.00  attB 0.82
A2 G5 dict      ansA 0.00  ansB 1.00  D(A-B) -10.02  attA 0.00  attB 0.82
A2 G5 all       ansA 0.00  ansB 1.00  D(A-B)  -8.71  attA 0.00  attB 0.82
wrote results/exp22_transplant_0.8B_list8.json  (1.0 min)
